County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotimgRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
GREEN LAKE COUNTY,TOWN OF PRINCETON,Wards 1-4,PRINCETON TOWN HALL,"N5871 COUNTY ROAD D, PRINCETON, WI 54968-8530",(920) 295-0347,,Government,-89.1229149699,43.8421943039,2016 General Election
MONROE COUNTY,TOWN OF WELLS,Ward 1,WELLS TOWN HALL,"11754 COUNTY HIGHWAY XX, NORWALK, WI 54648",6082694391,,Government,-90.7552134991,43.8417584449,2016 General Election
GREEN LAKE COUNTY,TOWN OF BROOKLYN,Wards 1-3,BROOKLYN TOWN HALL,"N5988 COUNTY ROAD A, GREEN LAKE, WI 54941-8624",9202946600,,Government,-88.9361775666,43.8411355019,2016 General Election
FOND DU LAC COUNTY,TOWN OF RIPON,Wards 1-2,RIPON TOWN OFFICE,"N8191 DOUGLAS ST, RIPON, WI 54971-9075",9207482019,,Government,-88.820136,43.8407,2016 General Election
ADAMS COUNTY,TOWN OF EASTON,Wards 1-2,EASTON TOWN HALL,"1163 COUNTY ROAD A, ADAMS, WI 53910-9784",(608) 584-5069,,Government,-89.8094482422,43.8376693726,2016 General Election
FOND DU LAC COUNTY,TOWN OF TAYCHEEDAH,Wards 1-5,TAYCHEEDAH TOWN HALL,"W4295 KIEKHAEFER PKWY, FOND DU LAC, WI 54937-6802",9209215224,,Government,-88.371523,43.837244,2016 General Election
SHEBOYGAN COUNTY,TOWN OF HERMAN,Wards 1-3,HERMAN TOWN HALL,"N8139 FRANKLIN RD, PLYMOUTH, WI 53073-4858",9205652934,,Government,-87.90313,43.83469,2016 General Election
LA CROSSE COUNTY,TOWN OF BARRE,Ward 1-2,BARRE TOWN HALL,"W3541 COUNTY ROAD M, LA CROSSE, WI 54601",6087863283,,Government,-91.083238,43.834494,2016 General Election
SHEBOYGAN COUNTY,VILLAGE OF ELKHART LAKE,Wards 1-2,GRASHORN MEMORIAL CIVIC CENTER,"84 LAKE ST, ELKHART LAKE, WI 53020",9208762122,,Government,-88.0177612305,43.8341178894,2016 General Election
MONROE COUNTY,VILLAGE OF NORWALK,Ward 1,NORWALK VILLAGE HALL,"208 S CHURCH ST, NORWALK, WI 54648-8255",6088237760,,Government,-90.623726,43.831177,2016 General Election
MONROE COUNTY,TOWN OF RIDGEVILLE,Ward 1,RIDGEVILLE TOWN HALL,"309 MAIN ST, NORWALK, WI 54648",6088237459,,Government,-90.6215744019,43.8300247192,2016 General Election
FOND DU LAC COUNTY,TOWN OF MARSHFIELD,Wards 1-2,MARSHFIELD/MT.CALVARY TOWN HALL,"999 FOND DU LAC ST, MOUNT CALVARY, WI 53057-9772",(920) 627-1146,,Government,-88.2392390817,43.8263900578,2016 General Election
FOND DU LAC COUNTY,VILLAGE OF MOUNT CALVARY,Ward 1,MARSHFIELD/MT.CALVARY TOWN HALL,"999 FOND DU LAC ST, MOUNT CALVARY, WI 53057-9772",(920) 627-1146,,Government,-88.2392390817,43.8263900578,2016 General Election
SHEBOYGAN COUNTY,VILLAGE OF HOWARDS GROVE,Wards 1-4,HOWARDS GROVE VILLAGE HALL,"913 S WISCONSIN DR, HOWARDS GROVE, WI 53083-1306",9205653511,,Government,-87.8249053955,43.824546814,2016 General Election
FOND DU LAC COUNTY,VILLAGE OF ST. CLOUD,Ward 1,SAINT CLOUD VILLAGE HALL,"1105 MAIN ST, SAINT CLOUD, WI 53079-1477",(920) 960-5977,,Government,-88.166083172,43.8223479688,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 4,MYRICK PARK CENTER,"789 MYRICK PARK DR, LA CROSSE, WI 54601-3711",6087897510,,Government,-91.225811,43.822304,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 6,MYRICK PARK CENTER,"789 MYRICK PARK DR, LA CROSSE, WI 54601-3711",6087897510,,Government,-91.225811,43.822304,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 32,MYRICK PARK CENTER,"789 MYRICK PARK DR, LA CROSSE, WI 54601-3711",6087897510,,Government,-91.225811,43.822304,2016 General Election
MONROE COUNTY,TOWN OF WILTON,Wards 1-5,WILTON TOWN SHOP,"23988 STATE HIGHWAY 71, WILTON, WI 54670",6084356161,,Government,-90.51255472,43.8216747344,2016 General Election
FOND DU LAC COUNTY,TOWN OF ELDORADO,Wards 1-3,ELDORADO COMMUNITY HALL,"N7664 COUNTY ROAD C, ELDORADO, WI 54932-9695",9208725071,,Government,-88.624541,43.820759,2016 General Election
MARQUETTE COUNTY,TOWN OF MECAN,Ward 1,MECAN TOWN HALL,"W1561 EVERGREEN LN, MONTELLO, WI 53949",9202953456,,Government,-89.240244,43.81995,2016 General Election
JUNEAU COUNTY,TOWN OF MARION,Ward 1,MARION TOWN HALL,"N4895 COUNTY ROAD HH, MAUSTON, WI 53948-9518",6088477494,,Government,-89.938259,43.817962,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 8,UW-LA CROSSE RECREATIONAL EAGLE CENTER,"1601 BADGER ST, LA CROSSE, WI 54601",6087897510,,Government,-91.229224,43.816306,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 11,UW-LA CROSSE RECREATIONAL EAGLE CENTER,"1601 BADGER ST, LA CROSSE, WI 54601",6087897510,,Government,-91.229224,43.816306,2016 General Election
MONROE COUNTY,VILLAGE OF WILTON,Ward 1,Wilton Community Center Complex,"400 EAST ST, WILTON, WI 54670-7735",6084356666,Room #103,Government,-90.5244064331,43.8134307861,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 7,LA CROSSE PUBLIC LIBRARY,"800 MAIN ST, LA CROSSE, WI 54601-4122",6087897510,,Government,-91.2448806763,43.8114089966,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 10,LA CROSSE PUBLIC LIBRARY,"800 MAIN ST, LA CROSSE, WI 54601-4122",6087897510,,Government,-91.2448806763,43.8114089966,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 9,ENGLISH LUTHERAN CHURCH,"1509 KING ST, LA CROSSE, WI 54601-4270",(608) 789-7510,,Religious,-91.2335510254,43.8104057312,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 12,ENGLISH LUTHERAN CHURCH,"1509 KING ST, LA CROSSE, WI 54601-4270",(608) 789-7510,,Religious,-91.2335510254,43.8104057312,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 30,ENGLISH LUTHERAN CHURCH,"1509 KING ST, LA CROSSE, WI 54601-4270",(608) 789-7510,,Religious,-91.2335510254,43.8104057312,2016 General Election
FOND DU LAC COUNTY,VILLAGE OF ROSENDALE,Wards 1-2,ROSENDALE MUNICIPAL BUILDING,"211 N GRANT ST, ROSENDALE, WI 54974-9802",9208722740,,Government,-88.680534,43.809165,2016 General Election
FOND DU LAC COUNTY,VILLAGE OF NORTH FOND DU LAC,Wards 1-7,NORTH FOND DU LAC COMMUNITY CENTER,"280 GARFIELD ST, N FOND DU LAC, WI 54937-1308",9209293765,,Government,-88.488835,43.808242,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 13,SAINT PAUL'S LUTHERAN CHURCH,"420 WEST AVE S, LA CROSSE, WI 54601-4759",6087897510,,,-91.239654541,43.8070068359,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 15,SAINT PAUL'S LUTHERAN CHURCH,"420 WEST AVE S, LA CROSSE, WI 54601-4759",6087897510,,,-91.239654541,43.8070068359,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 17,SAINT PAUL'S LUTHERAN CHURCH,"420 WEST AVE S, LA CROSSE, WI 54601-4759",6087897510,,,-91.239654541,43.8070068359,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 18,SAINT PAUL'S LUTHERAN CHURCH,"420 WEST AVE S, LA CROSSE, WI 54601-4759",6087897510,,,-91.239654541,43.8070068359,2016 General Election
MONROE COUNTY,VILLAGE OF MELVINA,Ward 1,MELVINA VILLAGE HALL,"604 CENTRAL DR, CASHTON, WI 54619-8322",(608) 654-7433,,Government,-90.7739675045,43.8051516563,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 19,HOGAN ADMINISTRATIVE CENTER,"807 EAST AVE S, LA CROSSE, WI 54601-4982",6087897510,,Government,-91.2287597656,43.8031082153,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 21,HOGAN ADMINISTRATIVE CENTER,"807 EAST AVE S, LA CROSSE, WI 54601-4982",6087897510,,Government,-91.2287597656,43.8031082153,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 14,SOUTHSIDE NEIGHBORHOOD CENTER,"1300 6TH ST S, LA CROSSE, WI 54601-5310",6087897510,,Government,-91.2491989136,43.7982406616,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 16,SOUTHSIDE NEIGHBORHOOD CENTER,"1300 6TH ST S, LA CROSSE, WI 54601-5310",6087897510,,Government,-91.2491989136,43.7982406616,2016 General Election
SHEBOYGAN COUNTY,VILLAGE OF GLENBEULAH,Ward 1,GLENBEULAH VILLAGE HALL,"110 N SWIFT ST, GLENBEULAH, WI 53023-1190",9205263701,,Government,-88.0479888916,43.7978096008,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 7,LAKESIDE PARK PAVILION,"71 PROMEN DR, FOND DU LAC, WI 54935",9203223430,,Government,-88.4446795285,43.7977319956,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 8,LAKESIDE PARK PAVILION,"71 PROMEN DR, FOND DU LAC, WI 54935",9203223430,,Government,-88.4446795285,43.7977319956,2016 General Election
JUNEAU COUNTY,CITY OF MAUSTON,Wards 1-7,MAUSTON CITY HALL,"303 MANSION ST, MAUSTON, WI 53948-1329",6088476676,Community Room - Fourth Floor,Government,-90.073368,43.79773,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 20,LA CROSSE SOUTH COMMUNITY LIBRARY,"1307 16TH ST S, LA CROSSE, WI 54601-5725",6087897510,,Government,-91.2326031178,43.7976656109,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 23,LA CROSSE SOUTH COMMUNITY LIBRARY,"1307 16TH ST S, LA CROSSE, WI 54601-5725",6087897510,,Government,-91.2326031178,43.7976656109,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 24,LA CROSSE SOUTH COMMUNITY LIBRARY,"1307 16TH ST S, LA CROSSE, WI 54601-5725",6087897510,,Government,-91.2326031178,43.7976656109,2016 General Election
FOND DU LAC COUNTY,TOWN OF METOMEN,Wards 1-2,METOMEN TOWN HALL,"N6971 STATE ROAD 44 49, RIPON, WI 54971-9593",9203465866,,Government,-88.824928,43.796443,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 14,FOND DU LAC HIGH SCHOOL,"801 CAMPUS DR, FOND DU LAC, WI 54935-1600",9203223430,ATHLETIC FIELD GYM,School,-88.417623,43.795055,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 15,FOND DU LAC HIGH SCHOOL,"801 CAMPUS DR, FOND DU LAC, WI 54935-1600",9203223430,ATHLETIC FIELD GYM,School,-88.417623,43.795055,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 16,FOND DU LAC HIGH SCHOOL,"801 CAMPUS DR, FOND DU LAC, WI 54935-1600",9203223430,ATHLETIC FIELD GYM,School,-88.417623,43.795055,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 17,FOND DU LAC HIGH SCHOOL,"801 CAMPUS DR, FOND DU LAC, WI 54935-1600",9203223430,ATHLETIC FIELD GYM,School,-88.417623,43.795055,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 18,FOND DU LAC HIGH SCHOOL,"801 CAMPUS DR, FOND DU LAC, WI 54935-1600",9203223430,ATHLETIC FIELD GYM,School,-88.417623,43.795055,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 26,FOND DU LAC HIGH SCHOOL,"801 CAMPUS DR, FOND DU LAC, WI 54935-1600",9203223430,ATHLETIC FIELD GYM,School,-88.417623,43.795055,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 27,FOND DU LAC HIGH SCHOOL,"801 CAMPUS DR, FOND DU LAC, WI 54935-1600",9203223430,ATHLETIC FIELD GYM,School,-88.417623,43.795055,2016 General Election
MONROE COUNTY,VILLAGE OF KENDALL,Ward 1,KENDALL COMMUNITY HALL,"219 W SOUTH RAILROAD ST, KENDALL, WI 54638",6084637124,,Government,-90.370479,43.793761,2016 General Election
GREEN LAKE COUNTY,TOWN OF GREEN LAKE,Wards 1-2,GREEN LAKE TOWN HALL,"N4454 HORNER RD, MARKESAN, WI 53946",(920) 398-2419,,Government,-88.9558576047,43.7929234654,2016 General Election
MARQUETTE COUNTY,CITY OF MONTELLO,Ward 1-4,MONTELLO CITY HALL,"20 UNDERWOOD AVE, MONTELLO, WI 53949-9259",6082972727,,Government,-89.330172,43.791804,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 25,SPENCE ELEMENTARY SCHOOL,"2150 BENNETT ST, LA CROSSE, WI 54601-6673",6087897510,,School,-91.2224884033,43.787689209,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 26,SPENCE ELEMENTARY SCHOOL,"2150 BENNETT ST, LA CROSSE, WI 54601-6673",6087897510,,School,-91.2224884033,43.787689209,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 1,FOND DU LAC MASONIC CENTER,"500 W ARNDT ST, FOND DU LAC, WI 54935-2110",(920) 322-3433,Banquet Hall,Private,-88.466661,43.786797,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 2,FOND DU LAC MASONIC CENTER,"500 W ARNDT ST, FOND DU LAC, WI 54935-2110",(920) 322-3433,Banquet Hall,Private,-88.466661,43.786797,2016 General Election
LA CROSSE COUNTY,TOWN OF GREENFIELD,Ward 1-2,GREENFIELD TOWN HALL,"N1800 TOWN HALL RD, LA CROSSE, WI 54601-2608",6087870400,,Government,-91.035966,43.786303,2016 General Election
SHEBOYGAN COUNTY,TOWN OF SHEBOYGAN,Wards 1-10,TOWN OF SHEBOYGAN FIREHOUSE,"3911 COUNTY ROAD Y, SHEBOYGAN, WI 53083-2424",,,Government,-87.7789993286,43.7853546143,2016 General Election
MONROE COUNTY,TOWN OF GLENDALE,Ward 1,GLENDALE TOWN HALL,"27337 MOCHA RD, KENDALL, WI 54638-8616",6084637559,,Government,-90.346313,43.784502,2016 General Election
LA CROSSE COUNTY,TOWN OF SHELBY,Ward 1-4,SHELBY TOWN HALL ANNEX,"2801 WARD AVE, LA CROSSE, WI 54601-7470",6087881032,,Government,-91.2139663696,43.7840194702,2016 General Election
LA CROSSE COUNTY,TOWN OF SHELBY,Ward 5-6,SHELBY TOWN HALL ANNEX,"2801 WARD AVE, LA CROSSE, WI 54601-7470",6087881032,,Government,-91.2139663696,43.7840194702,2016 General Election
ADAMS COUNTY,TOWN OF SPRINGVILLE,Ward 1-2,SPRINGVILLE TOWN HALL,"3243 STATE HIGHWAY 13, WISC DELLS, WI 53965-8925",(608) 432-3771,,Government,-89.839843,43.783925,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 22,ALTRA FEDERAL CREDIT UNION,"2715 LOSEY BLVD S, LA CROSSE, WI 54601-7409",6087897510,,Business,-91.2187423706,43.7837905884,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 27,ALTRA FEDERAL CREDIT UNION,"2715 LOSEY BLVD S, LA CROSSE, WI 54601-7409",6087897510,,Business,-91.2187423706,43.7837905884,2016 General Election
JUNEAU COUNTY,TOWN OF LEMONWEIR,Wards 1-4,LEMONWEIR TOWN HALL,"N3935 19TH AVE, MAUSTON, WI 53948-9605",6088474786,,Government,-90.0174,43.783611,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 9,FOND DU LAC POLICE DEPARTMENT,"126 N MAIN ST, FOND DU LAC, WI 54935-3424",(920) 322-3430,,Government,-88.4479446411,43.7827148438,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 10,FOND DU LAC POLICE DEPARTMENT,"126 N MAIN ST, FOND DU LAC, WI 54935-3424",(920) 322-3430,,Government,-88.4479446411,43.7827148438,2016 General Election
MARQUETTE COUNTY,VILLAGE OF OXFORD,Ward 1,OXFORD VILLAGE HALL,"129 S FRANKLIN AVE, OXFORD, WI 53952-0122",6085864488,,Government,-89.572762,43.781232,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 1,QUARRYVIEW CENTER,"3401 CALUMET DRIVE, SHEBOYGAN, WI 53083",(920) 459-3366,,Government,-87.743187,43.780285,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 4,QUARRYVIEW CENTER,"3401 CALUMET DRIVE, SHEBOYGAN, WI 53083",(920) 459-3366,,Government,-87.743187,43.780285,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 30,QUARRYVIEW CENTER,"3401 CALUMET DRIVE, SHEBOYGAN, WI 53083",(920) 459-3366,,Government,-87.743187,43.780285,2016 General Election
SHEBOYGAN COUNTY,TOWN OF GREENBUSH,Wards 1-3,GREENBUSH TOWN HALL,"N6644 SUGARBUSH RD, GLENBEULAH, WI 53023-1236",9205263115,,Government,-88.081606,43.780265,2016 General Election
MARQUETTE COUNTY,TOWN OF MONTELLO,Ward 1-4,MONTELLO TOWN HALL,"N3849 COUNTY ROAD F, MONTELLO, WI 53949",6082977469,,Government,-89.324731,43.778076,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 11,FOND DU LAC SENIOR CENTER,"151 E 1ST ST, FOND DU LAC, WI 54935-4354",9203223430,,Government,-88.4409942627,43.7765388489,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 12,FOND DU LAC SENIOR CENTER,"151 E 1ST ST, FOND DU LAC, WI 54935-4354",9203223430,,Government,-88.4409942627,43.7765388489,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 3,EVANS ELEMENTARY SCHOOL,"140 S PETERS AVE, FOND DU LAC, WI 54935-3830",9203223430,Gym,School,-88.472925,43.774492,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 4,EVANS ELEMENTARY SCHOOL,"140 S PETERS AVE, FOND DU LAC, WI 54935-3830",9203223430,Gym,School,-88.472925,43.774492,2016 General Election
ADAMS COUNTY,TOWN OF JACKSON,Ward 1-2,JACKSON TOWN HALL,"398 STATE ROAD 82, OXFORD, WI 53952",6085864842,,Government,-89.6587901562,43.7742304802,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 28,GOOD SHEPHERD LUTHERAN CHURCH,"4141 MORMON COULEE RD, LA CROSSE, WI 54601",(608) 789-7510,,Religious,-91.2168579102,43.7731742859,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 29,GOOD SHEPHERD LUTHERAN CHURCH,"4141 MORMON COULEE RD, LA CROSSE, WI 54601",(608) 789-7510,,Religious,-91.2168579102,43.7731742859,2016 General Election
LA CROSSE COUNTY,CITY OF LA CROSSE,Ward 33,GOOD SHEPHERD LUTHERAN CHURCH,"4141 MORMON COULEE RD, LA CROSSE, WI 54601",(608) 789-7510,,Religious,-91.2168579102,43.7731742859,2016 General Election
MONROE COUNTY,TOWN OF WELLINGTON,Wards 1-2,WELLINGTON TOWN HALL,"27503 COUNTY HIGHWAY P, KENDALL, WI 54638",(608) 435-6126,,Government,-90.4430486262,43.7731401622,2016 General Election
MONROE COUNTY,TOWN OF PORTLAND,Ward 1,PORTLAND TOWN HALL,"6736 STATE HIGHWAY 33, CASHTON, WI 54619",6086545187,,Government,-90.8575134277,43.7705688477,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 13,FOND DU LAC AQUATIC CENTER,"100 W 9TH ST, FOND DU LAC, WI 54935-4956",9203223430,,School,-88.450908,43.769293,2016 General Election
SHEBOYGAN COUNTY,TOWN OF SHEBOYGAN FALLS,Wards 1-3,SHEBOYGAN FALLS TOWN HALL,"W3860 COUNTY ROAD O, SHEBOYGAN FLS, WI 53085-2213",9204671922,,Government,-87.889839,43.768536,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 2,FIRST CONGREGATIONAL CHURCH,"310 BLUFF AVE, SHEBOYGAN, WI 53081-2872",(920) 457-4818,,Religious,-87.705075,43.766651,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 3,FIRST CONGREGATIONAL CHURCH,"310 BLUFF AVE, SHEBOYGAN, WI 53081-2872",(920) 457-4818,,Religious,-87.705075,43.766651,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 11,FIRST CONGREGATIONAL CHURCH,"310 BLUFF AVE, SHEBOYGAN, WI 53081-2872",(920) 457-4818,,Religious,-87.705075,43.766651,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 12,FIRST CONGREGATIONAL CHURCH,"310 BLUFF AVE, SHEBOYGAN, WI 53081-2872",(920) 457-4818,,Religious,-87.705075,43.766651,2016 General Election
MARQUETTE COUNTY,TOWN OF PACKWAUKEE,Ward 1-3,PACKWAUKEE TOWN HALL,"N3511 STATE ST, PACKWAUKEE, WI 53953",6085895626,,Government,-89.458516,43.765658,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 5,EVANGELICAL FREE CHURCH,"1710 N 15TH ST, SHEBOYGAN, WI 53081-2406",(920) 452-6520,,Religious,-87.7254714966,43.7638511658,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 6,EVANGELICAL FREE CHURCH,"1710 N 15TH ST, SHEBOYGAN, WI 53081-2406",(920) 452-6520,,Religious,-87.7254714966,43.7638511658,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 7,EVANGELICAL FREE CHURCH,"1710 N 15TH ST, SHEBOYGAN, WI 53081-2406",(920) 452-6520,,Religious,-87.7254714966,43.7638511658,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 8,EVANGELICAL FREE CHURCH,"1710 N 15TH ST, SHEBOYGAN, WI 53081-2406",(920) 452-6520,,Religious,-87.7254714966,43.7638511658,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 9,EVANGELICAL FREE CHURCH,"1710 N 15TH ST, SHEBOYGAN, WI 53081-2406",(920) 452-6520,,Religious,-87.7254714966,43.7638511658,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 10,EVANGELICAL FREE CHURCH,"1710 N 15TH ST, SHEBOYGAN, WI 53081-2406",(920) 452-6520,,Religious,-87.7254714966,43.7638511658,2016 General Election
JUNEAU COUNTY,TOWN OF LINDINA,Ward 1,LINDINA TOWN HALL,"N3485 COUNTY ROAD G, MAUSTON, WI 53948-9318",(608) 847-4861,,Government,-90.103394,43.76377,2016 General Election
JUNEAU COUNTY,TOWN OF PLYMOUTH,Ward 1,PLYMOUTH TOWN HALL,"W9902 STATE ROAD 82, ELROY, WI 53929-9453",6084625034,,Government,-90.2615582943,43.7637443841,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 19,FOND DU LAC FAIRGROUNDS EXPO BUILDING,"510 FOND DU LAC AVE, FOND DU LAC, WI 54935-5442",9203223430,,Government,-88.43013,43.763453,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 20,FOND DU LAC FAIRGROUNDS EXPO BUILDING,"510 FOND DU LAC AVE, FOND DU LAC, WI 54935-5442",9203223430,,Government,-88.43013,43.763453,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 21,FOND DU LAC FAIRGROUNDS EXPO BUILDING,"510 FOND DU LAC AVE, FOND DU LAC, WI 54935-5442",9203223430,,Government,-88.43013,43.763453,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 22,FOND DU LAC FAIRGROUNDS EXPO BUILDING,"510 FOND DU LAC AVE, FOND DU LAC, WI 54935-5442",9203223430,,Government,-88.43013,43.763453,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 23,FOND DU LAC FAIRGROUNDS EXPO BUILDING,"510 FOND DU LAC AVE, FOND DU LAC, WI 54935-5442",9203223430,,Government,-88.43013,43.763453,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 24,FOND DU LAC FAIRGROUNDS EXPO BUILDING,"510 FOND DU LAC AVE, FOND DU LAC, WI 54935-5442",9203223430,,Government,-88.43013,43.763453,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 25,FOND DU LAC FAIRGROUNDS EXPO BUILDING,"510 FOND DU LAC AVE, FOND DU LAC, WI 54935-5442",9203223430,,Government,-88.43013,43.763453,2016 General Election
SHEBOYGAN COUNTY,TOWN OF PLYMOUTH,Wards 1-4,PLYMOUTH TOWN HALL,"120 SUHRKE RD, PLYMOUTH, WI 53073",9208935713,,Government,-87.9834671021,43.7571868896,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 5,FIRE STATION 1,"815 S MAIN ST, FOND DU LAC, WI 54935-5738",9203223430,,Government,-88.4476394653,43.7568359375,2016 General Election
FOND DU LAC COUNTY,CITY OF FOND DU LAC,Ward 6,FIRE STATION 1,"815 S MAIN ST, FOND DU LAC, WI 54935-5738",9203223430,,Government,-88.4476394653,43.7568359375,2016 General Election
FOND DU LAC COUNTY,TOWN OF SPRINGVALE,Ward 1,SPRINGVALE TOWN HALL,"W10758 COUNTY ROAD T, BRANDON, WI 53919-9530",(920) 979-0620,,Government,-88.698153,43.756175,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 16,FIRST UNITED LUTHERAN CHURCH,"2401 KOHLER MEMORIAL DR, SHEBOYGAN, WI 53081-3128",(920) 452-2401,,Religious,-87.738457,43.755852,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 17,FIRST UNITED LUTHERAN CHURCH,"2401 KOHLER MEMORIAL DR, SHEBOYGAN, WI 53081-3128",(920) 452-2401,,Religious,-87.738457,43.755852,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 18,FIRST UNITED LUTHERAN CHURCH,"2401 KOHLER MEMORIAL DR, SHEBOYGAN, WI 53081-3128",(920) 452-2401,,Religious,-87.738457,43.755852,2016 General Election
SHEBOYGAN COUNTY,CITY OF SHEBOYGAN,Ward 27,FIRST UNITED LUTHERAN CHURCH,"2401 KOHLER MEMORIAL DR, SHEBOYGAN, WI 53081-3128",(920) 452-2401,,Religious,-87.738457,43.755852,2016 General Election
MONROE COUNTY,TOWN OF SHELDON,Ward 1,SHELDON TOWN HALL,"29215 STATE HIGHWAY 131, NORWALK, WI 54648",6088237400,,Government,-90.5862537771,43.7554530054,2016 General Election
MONROE COUNTY,TOWN OF JEFFERSON,Ward 1,JEFFERSON TOWN SHOP AND OFFICE,"12035 OLYMPIC AVE, CASHTON, WI 54619",6086547855,,Government,-90.7494977117,43.7547449023,2016 General Election
